S. No,State/UT/District,"Homicide/Murder(3,4,15,16)",Causing death by negligence(5 to 12),"Hurt(20,26)",Assault on woman(35),Kidnapping and abduction(45),Human trafficking (56to 59),Rape(60 to 62),"Offence against public tranquility(68,90)",Offences against property(107),Offences relating to documents and property marks(121),Miscellaneous(142),"Others(13,17,18,34,143)",Total(144),Population,Sex Ratio,Literacy,Density,Latitude,Longitude,Crime Rate
1,Ahmednagar,217,832,1362,486,420,0,60,759,4233,231,3585,357,12542,4543159,939,0.7905,266,19.0948287,74.7479789,0.2760634175
2,Akola,96,156,1167,197,126,0,31,116,808,95,2040,385,5217,1813906,946,0.8805,320,20.7002159,77.0081678,0.2876113757
3,Amravati,187,316,1681,400,271,2,76,96,2233,189,4083,196,9730,2888445,951,0.8738,237,20.9319821,77.7523039,0.3368594521
4,Aurangbad,170,489,1718,344,318,0,67,347,7888,356,3190,349,15236,3701282,923,0.7902,366,19.8761653,75.3433139,0.4116411557
5,Beed,129,316,955,204,128,4,47,322,940,97,1186,120,4448,2585049,916,0.7699,242,18.990088,75.7531324,0.1720663709
6,Bhandara,54,141,366,85,108,0,33,46,630,60,1494,42,3059,1200334,982,0.8376,294,21.177658,79.6570127,0.2548457346
7,Buldhana,91,276,1674,258,123,0,41,272,1251,140,3451,128,7705,2586258,934,0.834,268,20.5292147,76.1841701,0.2979207798
8,Chandrapur,68,245,944,159,205,2,42,100,1041,139,4119,59,7123,2204307,961,0.8001,193,19.9615398,79.2961468,0.3231401071
9,Dhule,92,266,409,104,107,0,13,196,1065,118,1267,640,4277,2050862,946,0.728,285,20.9042201,74.7748979,0.2085464551
10,Gadchiroli,96,138,214,47,49,0,17,8,248,40,393,18,1268,1072942,982,0.7436,74,20.184871,79.9947956,0.1181797339
11,Gondia,57,150,379,116,113,0,27,37,547,51,1302,22,2801,1322507,999,0.8495,253,21.4549477,80.1960712,0.2117947202
12,Hingoli,68,117,508,68,54,0,20,109,440,32,1499,25,2940,1177345,942,0.7817,244,19.7173703,77.1493722,0.2497143998
13,Jalgaon,160,416,717,241,207,0,38,364,1903,150,1775,310,6281,4229917,925,0.782,360,21.0076578,75.5626039,0.1484899113
14,Jalna,111,184,967,280,114,0,39,268,1374,158,573,564,4632,1959046,937,0.7152,254,19.8346659,75.8816345,0.2364416149
15,Kolhapur,148,349,752,184,267,16,49,322,1681,229,1873,497,6367,3876001,957,0.8151,504,16.7049873,74.2432527,0.1642672435
16,Latur,117,270,893,145,134,0,41,238,962,85,1751,39,4675,2454196,928,0.7726,343,18.4087934,76.5603828,0.1904900831
17,Mumbai,560,446,4948,2209,2139,87,403,470,46154,4856,7203,5055,74530,12442373,846,0.8956,20316,19.0759837,72.8776559,0.5990014927
18,Nagpur,256,637,1994,393,695,14,111,197,8017,482,9348,347,22491,4653570,951,0.8839,470,19.1538231,72.8751786,0.4833063648
19,Nanded,165,255,1488,167,182,0,47,207,1339,132,2621,63,6666,3361292,943,0.7545,319,21.1458004,79.0881546,0.1983165997
20,Nandurbar,56,138,194,61,50,0,24,128,479,47,1097,25,2299,1648295,978,0.6438,277,19.1382514,77.3209555,0.13947746
21,Nasik,212,909,1546,349,545,0,73,512,3188,440,5801,324,13899,6107187,934,0.8231,393,21.7468548,74.123996,0.2275843199
22,Navi Mumbai,110,271,588,181,357,4,79,116,2368,584,970,92,5720,1120547,837,0.8962,6204,19.9974533,73.7898023,0.5104649783
23,Osmanabad,80,240,747,144,77,0,25,220,858,93,828,90,3402,1657576,924,0.7844,219,18.185332,76.0419642,0.2052394581
24,Parbhani,111,118,890,93,124,0,29,88,836,102,1785,184,4360,1836086,947,0.7334,295,19.2608384,76.774776,0.237461644
25,Pune,640,1360,3261,1145,1643,38,314,1048,12684,1615,14132,423,38303,9429408,915,0.8615,603,18.5204303,73.8567437,0.4062078977
26,Raigad,36,206,368,81,121,0,18,173,770,191,667,66,2697,2634200,959,0.8314,368,18.2376278,73.4445392,0.1023840255
27,Ratnagiri,41,140,310,62,75,0,11,70,563,135,487,23,1917,1615069,1122,0.8218,197,16.990215,73.3120233,0.1186946192
28,Sangli,199,293,1208,214,263,8,40,295,2105,191,1740,717,7273,2822143,966,0.8148,329,16.8523973,74.5814773,0.2577119586
29,Satara,155,465,800,268,242,4,49,298,1883,192,2215,123,6694,3003741,988,0.8287,287,17.6804639,74.018261,0.2228554326
30,Sindhudurg,24,71,199,43,24,0,7,30,315,43,430,13,1199,849651,1036,0.8556,163,16.3492193,73.5594128,0.1411167644
31,Solapur,271,545,2060,399,334,6,83,716,3394,370,4005,889,13072,4317756,938,0.7702,290,17.6599188,75.9063906,0.3027498543
32,Thane,364,951,3375,852,1762,64,308,707,8144,1586,4448,878,23439,11060148,886,0.8453,1157,19.2183307,72.9780897,0.2119230231
33,Wardha,88,180,1044,137,125,0,14,47,873,110,1958,44,4620,1300774,946,0.8699,206,20.745319,78.6021946,0.3551731508
34,Washim,85,98,620,106,76,0,26,95,465,43,1357,29,3000,1197160,930,0.8325,244,20.1119123,77.1312586,0.2505930703
35,Yavatmal,109,344,1264,250,177,0,67,90,1167,86,3535,60,7149,2772348,952,0.8282,204,20.3899385,78.1306846,0.2578680599